==2026488== NVPROF is profiling process 2026488, command: /home/LiJB/cuda_project/TC-compare-V100/build/main -config=./config/config-fox.ini -dataset=Com-Friendster
==2026488== Some kernel(s) will be replayed on device 3 in order to collect all events/metrics.
==2026488== Profiling application: /home/LiJB/cuda_project/TC-compare-V100/build/main -config=./config/config-fox.ini -dataset=Com-Friendster
==2026488== Profiling result:
==2026488== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"achieved_occupancy","Achieved Occupancy",0.892288,0.999607,0.977775
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"branch_efficiency","Branch Efficiency",77.378769%,96.834058%,85.055536%
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"warp_execution_efficiency","Warp Execution Efficiency",60.792437%,97.196369%,74.847125%
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.050763,1.070421,1.056929
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"gld_transactions_per_request","Global Load Transactions Per Request",2.678624,20.014816,8.615949
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"shared_load_transactions","Shared Load Transactions",336244,418235,351790
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"gld_transactions","Global Load Transactions",987863,169325362766,30779239513
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"dram_read_transactions","Device Memory Read Transactions",184715,125699374751,24063274963
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"global_hit_rate","Global Hit Rate in unified l1/tex",7.053176%,77.515893%,43.367970%
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"gld_requested_throughput","Requested Global Load Throughput",42.501985GB/s,229.627099GB/s,216.187453GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"gld_throughput","Global Load Throughput",187.620202GB/s,1000.439558GB/s,956.422636GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"dram_read_throughput","Device Memory Read Throughput",35.082057GB/s,804.849457GB/s,747.733252GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"shared_load_throughput","Shared Memory Load Throughput",10.121599MB/s,255.445005GB/s,44.775000MB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"gld_efficiency","Global Memory Load Efficiency",16.506191%,27.232015%,19.951720%
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",1,"dram_utilization","Device Memory Utilization","Max (10)","Max (10)","Max (10)"
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",4,"shared_utilization","Shared Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"shared_efficiency","Shared Memory Efficiency",7.455065%,8.193254%,8.045360%
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"global_load_requests","Total number of global load requests from Multiprocessor",368795,44463146929,7863783462
==2026488== Warning: One or more events or metrics overflowed. Rerun with "--print-gpu-trace" for detail.
==2026488== Warning: One or more events or metrics can't be profiled. Rerun with "--print-gpu-trace" for detail.
