==2148345== NVPROF is profiling process 2148345, command: /home/LiJB/cuda_project/TC-compare-V100/build/main -config=./config/config-grouptc-cuckoo.ini -dataset=Com-Friendster
==2148345== Some kernel(s) will be replayed on device 3 in order to collect all events/metrics.
==2148345== Profiling application: /home/LiJB/cuda_project/TC-compare-V100/build/main -config=./config/config-grouptc-cuckoo.ini -dataset=Com-Friendster
==2148345== Profiling result:
==2148345== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_Cuckoo::grouptc_cuckoo<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_Cuckoo::grouptc_cuckoo<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"achieved_occupancy","Achieved Occupancy",0.998031,0.998031,0.998031
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_Cuckoo::grouptc_cuckoo<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_Cuckoo::grouptc_cuckoo<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"branch_efficiency","Branch Efficiency",90.428225%,90.428225%,90.428225%
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_Cuckoo::grouptc_cuckoo<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_Cuckoo::grouptc_cuckoo<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"warp_execution_efficiency","Warp Execution Efficiency",93.209444%,93.209444%,93.209444%
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_Cuckoo::grouptc_cuckoo<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_Cuckoo::grouptc_cuckoo<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",2.205658,2.205658,2.205658
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_Cuckoo::grouptc_cuckoo<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_Cuckoo::grouptc_cuckoo<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",2.991866,2.991866,2.991866
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_Cuckoo::grouptc_cuckoo<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_Cuckoo::grouptc_cuckoo<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"shared_load_transactions","Shared Load Transactions",69600215776,69600215776,69600215776
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_Cuckoo::grouptc_cuckoo<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_Cuckoo::grouptc_cuckoo<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"gld_transactions","Global Load Transactions",39093350091,39093350091,39093350091
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_Cuckoo::grouptc_cuckoo<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_Cuckoo::grouptc_cuckoo<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"dram_read_transactions","Device Memory Read Transactions",50917406943,50917406943,50917406943
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_Cuckoo::grouptc_cuckoo<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_Cuckoo::grouptc_cuckoo<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"global_hit_rate","Global Hit Rate in unified l1/tex",29.294732%,29.294732%,29.294732%
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_Cuckoo::grouptc_cuckoo<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_Cuckoo::grouptc_cuckoo<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"gld_requested_throughput","Requested Global Load Throughput",417.865741GB/s,417.865741GB/s,417.865741GB/s
