==2028986== NVPROF is profiling process 2028986, command: /home/LiJB/cuda_project/TC-compare-V100/build/main -config=./config/config-grouptc-hash-v2.ini -dataset=Com-Friendster
==2028986== Some kernel(s) will be replayed on device 3 in order to collect all events/metrics.
==2028986== Profiling application: /home/LiJB/cuda_project/TC-compare-V100/build/main -config=./config/config-grouptc-hash-v2.ini -dataset=Com-Friendster
==2028986== Profiling result:
==2028986== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"achieved_occupancy","Achieved Occupancy",0.997990,0.997990,0.997990
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"branch_efficiency","Branch Efficiency",91.037187%,91.037187%,91.037187%
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"warp_execution_efficiency","Warp Execution Efficiency",94.307640%,94.307640%,94.307640%
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.912741,1.912741,1.912741
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",2.990918,2.990918,2.990918
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"shared_load_transactions","Shared Load Transactions",62172609516,62172609516,62172609516
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"gld_transactions","Global Load Transactions",39080149139,39080149139,39080149139
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"dram_read_transactions","Device Memory Read Transactions",51491873865,51491873865,51491873865
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"global_hit_rate","Global Hit Rate in unified l1/tex",29.295382%,29.295382%,29.295382%
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"gld_requested_throughput","Requested Global Load Throughput",409.295577GB/s,409.295577GB/s,409.295577GB/s
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"gld_throughput","Global Load Throughput",598.945689GB/s,598.945689GB/s,598.945689GB/s
