==2029729== NVPROF is profiling process 2029729, command: /home/LiJB/cuda_project/TC-compare-V100/build/main -config=./config/config-grouptc-hash.ini -dataset=Com-Friendster
==2029729== Some kernel(s) will be replayed on device 3 in order to collect all events/metrics.
==2029729== Profiling application: /home/LiJB/cuda_project/TC-compare-V100/build/main -config=./config/config-grouptc-hash.ini -dataset=Com-Friendster
==2029729== Profiling result:
==2029729== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"achieved_occupancy","Achieved Occupancy",0.997279,0.997279,0.997279
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"branch_efficiency","Branch Efficiency",91.203919%,91.203919%,91.203919%
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"warp_execution_efficiency","Warp Execution Efficiency",94.508828%,94.508828%,94.508828%
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.938022,1.938022,1.938022
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",2.991063,2.991063,2.991063
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"shared_load_transactions","Shared Load Transactions",62740640850,62740640850,62740640850
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"gld_transactions","Global Load Transactions",39082052808,39082052808,39082052808
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"dram_read_transactions","Device Memory Read Transactions",50099792191,50099792191,50099792191
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"global_hit_rate","Global Hit Rate in unified l1/tex",29.277797%,29.277797%,29.277797%
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"gld_requested_throughput","Requested Global Load Throughput",395.985214GB/s,395.985214GB/s,395.985214GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"gld_throughput","Global Load Throughput",579.496096GB/s,579.496096GB/s,579.496096GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"dram_read_throughput","Device Memory Read Throughput",742.863588GB/s,742.863588GB/s,742.863588GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"shared_load_throughput","Shared Memory Load Throughput",3721.192086GB/s,3721.192086GB/s,3721.192086GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"gld_efficiency","Global Memory Load Efficiency",68.332680%,68.332680%,68.332680%
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"shared_efficiency","Shared Memory Efficiency",14.779593%,14.779593%,14.779593%
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"global_load_requests","Total number of global load requests from Multiprocessor",13066275001,13066275001,13066275001
==2029729== Warning: One or more events or metrics overflowed. Rerun with "--print-gpu-trace" for detail.
