==2030462== NVPROF is profiling process 2030462, command: /home/LiJB/cuda_project/TC-compare-V100/build/main -config=./config/config-grouptc-opt.ini -dataset=Com-Friendster
==2030462== Some kernel(s) will be replayed on device 3 in order to collect all events/metrics.
==2030462== Profiling application: /home/LiJB/cuda_project/TC-compare-V100/build/main -config=./config/config-grouptc-opt.ini -dataset=Com-Friendster
==2030462== Profiling result:
==2030462== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"achieved_occupancy","Achieved Occupancy",0.999786,0.999786,0.999786
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"branch_efficiency","Branch Efficiency",89.676312%,89.676312%,89.676312%
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"warp_execution_efficiency","Warp Execution Efficiency",93.187765%,93.187765%,93.187765%
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.131143,1.131143,1.131143
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",5.448541,5.448541,5.448541
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"shared_load_transactions","Shared Load Transactions",13407687338,13407687338,13407687338
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"gld_transactions","Global Load Transactions",166491049397,166491049397,166491049397
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"dram_read_transactions","Device Memory Read Transactions",42844388320,42844388320,42844388320
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"global_hit_rate","Global Hit Rate in unified l1/tex",83.959547%,83.959547%,83.959547%
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"gld_requested_throughput","Requested Global Load Throughput",744.733632GB/s,744.733632GB/s,744.733632GB/s
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"gld_throughput","Global Load Throughput",2292.268546GB/s,2292.268546GB/s,2292.268546GB/s
