==2032717== NVPROF is profiling process 2032717, command: /home/LiJB/cuda_project/TC-compare-V100/build/main -config=./config/config-h-index.ini -dataset=Com-Friendster
==2032717== Some kernel(s) will be replayed on device 3 in order to collect all events/metrics.
==2032717== Profiling application: /home/LiJB/cuda_project/TC-compare-V100/build/main -config=./config/config-h-index.ini -dataset=Com-Friendster
==2032717== Profiling result:
==2032717== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"achieved_occupancy","Achieved Occupancy",0.500000,0.500000,0.500000
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"branch_efficiency","Branch Efficiency",80.066808%,80.066808%,80.066808%
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"warp_execution_efficiency","Warp Execution Efficiency",61.607253%,61.607253%,61.607253%
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",3.869002,3.869002,3.869002
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",2.939142,2.939142,2.939142
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"shared_load_transactions","Shared Load Transactions",51477508643,51477508643,51477508643
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"gld_transactions","Global Load Transactions",209538202701,209538202701,209538202701
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"dram_read_transactions","Device Memory Read Transactions",112618739169,112618739169,112618739169
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"global_hit_rate","Global Hit Rate in unified l1/tex",83.462421%,83.462421%,83.462421%
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"gld_requested_throughput","Requested Global Load Throughput",343.983366GB/s,343.983366GB/s,343.983366GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"gld_throughput","Global Load Throughput",681.156583GB/s,681.156583GB/s,681.156583GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"dram_read_throughput","Device Memory Read Throughput",366.095512GB/s,366.095512GB/s,366.095512GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"shared_load_throughput","Shared Memory Load Throughput",669.362311GB/s,669.362311GB/s,669.362311GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"gld_efficiency","Global Memory Load Efficiency",50.499896%,50.499896%,50.499896%
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"shared_efficiency","Shared Memory Efficiency",4.629152%,4.629152%,4.629152%
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"global_load_requests","Total number of global load requests from Multiprocessor",71292301726,71292301726,71292301726
==2032717== Warning: One or more events or metrics overflowed. Rerun with "--print-gpu-trace" for detail.
