==2036279== NVPROF is profiling process 2036279, command: /home/LiJB/cuda_project/TC-compare-V100/build/main -config=./config/config-trust.ini -dataset=Com-Friendster
==2036279== Some kernel(s) will be replayed on device 3 in order to collect all events/metrics.
==2036279== Profiling application: /home/LiJB/cuda_project/TC-compare-V100/build/main -config=./config/config-trust.ini -dataset=Com-Friendster
==2036279== Profiling result:
==2036279== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-DGXS-32GB (3)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"achieved_occupancy","Achieved Occupancy",0.999998,0.999998,0.999998
"Tesla V100-DGXS-32GB (3)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"branch_efficiency","Branch Efficiency",80.924638%,80.924638%,80.924638%
"Tesla V100-DGXS-32GB (3)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"warp_execution_efficiency","Warp Execution Efficiency",62.954354%,62.954354%,62.954354%
"Tesla V100-DGXS-32GB (3)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.586467,1.586467,1.586467
"Tesla V100-DGXS-32GB (3)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",1.846421,1.846421,1.846421
"Tesla V100-DGXS-32GB (3)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"shared_load_transactions","Shared Load Transactions",39874784874,39874784874,39874784874
"Tesla V100-DGXS-32GB (3)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"gld_transactions","Global Load Transactions",50400663093,50400663093,50400663093
"Tesla V100-DGXS-32GB (3)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"dram_read_transactions","Device Memory Read Transactions",107364520943,107364520943,107364520943
"Tesla V100-DGXS-32GB (3)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"global_hit_rate","Global Hit Rate in unified l1/tex",42.309496%,42.309496%,42.309496%
"Tesla V100-DGXS-32GB (3)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"gld_requested_throughput","Requested Global Load Throughput",375.741766GB/s,375.741766GB/s,375.741766GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"gld_throughput","Global Load Throughput",674.642967GB/s,674.642967GB/s,674.642967GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"dram_read_throughput","Device Memory Read Throughput",1437.138214GB/s,1437.138214GB/s,1437.138214GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"shared_load_throughput","Shared Memory Load Throughput",2134.991210GB/s,2134.991210GB/s,2134.991210GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"gld_efficiency","Global Memory Load Efficiency",55.694906%,55.694906%,55.694906%
"Tesla V100-DGXS-32GB (3)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"shared_efficiency","Shared Memory Efficiency",23.500471%,23.500471%,23.500471%
"Tesla V100-DGXS-32GB (3)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"global_load_requests","Total number of global load requests from Multiprocessor",27296405196,27296405196,27296405196
==2036279== Warning: One or more events or metrics overflowed. Rerun with "--print-gpu-trace" for detail.
